Title;ISSN;Categories;Top Level;Primary Level;Secondary Level;Preassigned
10th Annual International Systems Conference, SysCon 2016 - Proceedings;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
10th International Conference - 2016 Electric Power Quality and Supply Reliability, PQ 2016, Proceedings;-;"Computer Networks and Communications; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
10th International Conference on e-Commerce in Developing Countries: With Focus on e-Tourism, ECDC 2016;-;"Computer Networks and Communications; Computer Science Applications; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings;-;Geotechnical Engineering and Engineering Geology;Physical Sciences and Engineering;Earth and Planetary Sciences;Geotechnical Engineering and Engineering Geology;
11th International Conference on Intelligent Technologies in Logistics and Mechatronics Systems, ITELMS 2016;-;"Information Systems; Software";Physical Sciences and Engineering;Computer Science;Information Systems;
10th Symposium on Space Resource Utilization, 2017;-;"Electrical and Electronic Engineering; Energy Engineering and Power Technology; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;NA;NA;
10th Workshop on Recent Advances in Slavonic Natural Language Processing, RASLAN 2016 - Proceedings;-;"Computer Networks and Communications; Hardware and Architecture; Information Systems; Software";Physical Sciences and Engineering;NA;NA;
12th Conference and Exhibition Engineering Geophysics 2016;-;"Control and Systems Engineering; Electrical and Electronic Engineering";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
12th International Conference on Mining with Backfill 2017, Minefill 2017;-;"Building and Construction; Civil and Structural Engineering";Physical Sciences and Engineering;Engineering;BuildingConstruction;
12th International ISC Conference on Information Security and Cryptology, ISCISC 2015;-;Signal Processing;Physical Sciences and Engineering;Computer Science;Signal Processing;
12th IEEE International Conference Electronics, Energy, Environment, Communication, Computer, Control: (E3-C3), INDICON 2015;-;"Control and Optimization; Control and Systems Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
13th HONET-ICT International Symposium on Smart MicroGrids for Sustainable Energy Sources Enabled by Photonics and IoT Sensors, HONET-ICT 2016;-;"Computer Science Applications; Education; Human-Computer Interaction";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
13th International ISC Conference on Information Security and Cryptology, ISCISC 2016;-;"Industrial and Manufacturing Engineering; Mechanical Engineering";Physical Sciences and Engineering;Engineering;Industrial and Manufacturing Engineering;
13th International Multi-Conference on Systems, Signals and Devices, SSD 2016;-;"Electrical and Electronic Engineering; Instrumentation; Signal Processing";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
13th International Conference on Industrial Logistics, ICIL 2016 - Conference Proceedings;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
13th Workshop on Analytic Algorithmics and Combinatorics 2016, ANALCO 2016;-;"Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
